Africa/Abidjan,+ 0
Africa/Accra,+ 0
Africa/Bamako,+ 0
Africa/Banjul,+ 0
Africa/Casablanca,+ 0
Africa/Conakry,+ 0
Africa/Dakar,+ 0
Africa/El_Aaiun,+ 0
Africa/Freetown,+ 0
Africa/Lome,+ 0
Africa/Monrovia,+ 0
Africa/Nouakchott,+ 0
Africa/Ouagadougou,+ 0
Africa/Sao_Tome,+ 0
Africa/Timbuktu,+ 0
America/Danmarkshavn,+ 0
Antarctica/Troll,+ 0
Atlantic/Canary,+ 0
Atlantic/Faeroe,+ 0
Atlantic/Faroe,+ 0
Atlantic/Madeira,+ 0
Atlantic/Reykjavik,+ 0
Atlantic/St_Helena,+ 0
Eire,+ 0
Etc/GMT,+ 0
Etc/GMT+0,+ 0
Etc/UCT,+ 0
Etc/Universal,+ 0
Etc/UTC,+ 0
Etc/Zulu,+ 0
Europe/Belfast,+ 0
Europe/Dublin,+ 0
Europe/Guernsey,+ 0
Europe/Isle_of_Man,+ 0
Europe/Jersey,+ 0
Europe/Lisbon,+ 0
Europe/London,+ 0
GB,+ 0
GB- Eire,+ 0
GMT,+ 0
GMT- 0,+ 0
GMT+0,+ 0
GMT0,+ 0
Greenwich,+ 0
Iceland,+ 0
Portugal,+ 0
UCT,+ 0
Universal,+ 0
UTC,+ 0
Zulu,+ 0
Africa/Algiers,+ 1
Africa/Bangui,+ 1
Africa/Brazzaville,+ 1
Africa/Ceuta,+ 1
Africa/Douala,+ 1
Africa/Kinshasa,+ 1
Africa/Lagos,+ 1
Africa/Libreville,+ 1
Africa/Luanda,+ 1
Africa/Malabo,+ 1
Africa/Ndjamena,+ 1
Africa/Niamey,+ 1
Africa/Porto- Novo,+ 1
Africa/Tunis,+ 1
Africa/Windhoek,+ 1
Arctic/Longyearbyen,+ 1
Atlantic/Jan_Mayen,+ 1
Europe/Amsterdam,+ 1
Europe/Andorra,+ 1
Europe/Belgrade,+ 1
Europe/Berlin,+ 1
Europe/Bratislava,+ 1
Europe/Brussels,+ 1
Europe/Budapest,+ 1
Europe/Busingen,+ 1
Europe/Copenhagen,+ 1
Europe/Gibraltar,+ 1
Europe/Ljubljana,+ 1
Europe/Luxembourg,+ 1
Europe/Madrid,+ 1
Europe/Malta,+ 1
Europe/Monaco,+ 1
Europe/Oslo,+ 1
Europe/Paris,+ 1
Europe/Podgorica,+ 1
Europe/Prague,+ 1
Europe/Rome,+ 1
Europe/San_Marino,+ 1
Europe/Sarajevo,+ 1
Europe/Skopje,+ 1
Europe/Stockholm,+ 1
Europe/Tirane,+ 1
Europe/Vaduz,+ 1
Europe/Vatican,+ 1
Europe/Vienna,+ 1
Europe/Warsaw,+ 1
Europe/Zagreb,+ 1
Europe/Zurich,+ 1
Poland,+ 1
Africa/Blantyre,+ 2
Africa/Bujumbura,+ 2
Africa/Cairo,+ 2
Africa/Gaborone,+ 2
Africa/Harare,+ 2
Africa/Johannesburg,+ 2
Africa/Kigali,+ 2
Africa/Lubumbashi,+ 2
Africa/Lusaka,+ 2
Africa/Maputo,+ 2
Africa/Maseru,+ 2
Africa/Mbabane,+ 2
Africa/Tripoli,+ 2
Asia/Amman,+ 2
Asia/Beirut,+ 2
Asia/Damascus,+ 2
Asia/Gaza,+ 2
Asia/Hebron,+ 2
Asia/Istanbul,+ 2
Asia/Jerusalem,+ 2
Asia/Nicosia,+ 2
Asia/Tel_Aviv,+ 2
Egypt,+ 2
Europe/Athens,+ 2
Europe/Bucharest,+ 2
Europe/Chisinau,+ 2
Europe/Helsinki,+ 2
Europe/Istanbul,+ 2
Europe/Kaliningrad,+ 2
Europe/Kiev,+ 2
Europe/Mariehamn,+ 2
Europe/Nicosia,+ 2
Europe/Riga,+ 2
Europe/Sofia,+ 2
Europe/Tallinn,+ 2
Europe/Tiraspol,+ 2
Europe/Uzhgorod,+ 2
Europe/Vilnius,+ 2
Europe/Zaporozhye,+ 2
Israel,+ 2
Libya,+ 2
Turkey,+ 2
Africa/Addis_Ababa,+ 3
Africa/Asmara,+ 3
Africa/Asmera,+ 3
Africa/Dar_es_Salaam,+ 3
Africa/Djibouti,+ 3
Africa/Juba,+ 3
Africa/Kampala,+ 3
Africa/Khartoum,+ 3
Africa/Mogadishu,+ 3
Africa/Nairobi,+ 3
Antarctica/Syowa,+ 3
Asia/Aden,+ 3
Asia/Baghdad,+ 3
Asia/Bahrain,+ 3
Asia/Kuwait,+ 3
Asia/Qatar,+ 3
Asia/Riyadh,+ 3
Europe/Minsk,+ 3
Europe/Moscow,+ 3
Europe/Simferopol,+ 3
Europe/Volgograd,+ 3
Indian/Antananarivo,+ 3
Indian/Comoro,+ 3
Indian/Mayotte,+ 3
W- SU,+ 3
Asia/Baku,+ 4
Asia/Dubai,+ 4
Asia/Muscat,+ 4
Asia/Tbilisi,+ 4
Asia/Yerevan,+ 4
Europe/Samara,+ 4
Indian/Mahe,+ 4
Indian/Mauritius,+ 4
Indian/Reunion,+ 4
Antarctica/Davis,+ 5
Antarctica/Mawson,+ 5
Asia/Aqtau,+ 5
Asia/Aqtobe,+ 5
Asia/Ashgabat,+ 5
Asia/Ashkhabad,+ 5
Asia/Dushanbe,+ 5
Asia/Karachi,+ 5
Asia/Oral,+ 5
Asia/Samarkand,+ 5
Asia/Tashkent,+ 5
Asia/Yekaterinburg,+ 5
Indian/Kerguelen,+ 5
Indian/Maldives,+ 5
Antarctica/Vostok,+ 6
Asia/Almaty,+ 6
Asia/Bishkek,+ 6
Asia/Dacca,+ 6
Asia/Dhaka,+ 6
Asia/Novosibirsk,+ 6
Asia/Omsk,+ 6
Asia/Qyzylorda,+ 6
Asia/Thimbu,+ 6
Asia/Thimphu,+ 6
Indian/Chagos,+ 6
Asia/Bangkok,+ 7
Asia/Ho_Chi_Minh,+ 7
Asia/Hovd,+ 7
Asia/Jakarta,+ 7
Asia/Krasnoyarsk,+ 7
Asia/Novokuznetsk,+ 7
Asia/Phnom_Penh,+ 7
Asia/Pontianak,+ 7
Asia/Saigon,+ 7
Asia/Vientiane,+ 7
Indian/Christmas,+ 7
Asia/Brunei,+ 8
Asia/Choibalsan,+ 8
Asia/Chongqing,+ 8
Asia/Chungking,+ 8
Asia/Harbin,+ 8
